MP_CODE,MP_NAME,Population
270139,Sitishini,430
270140,Chachazele,307
270141,Krafa,193
270142,Mpuku,409
270143,KuManxiweni,414
270144,eNtshingeni,208
270145,KuCamandashe,401
270146,Sundwana A,767
270169,KwaMhlati,133
270170,eNdulini A,200
270171,Tafeni,1753
270172,Tyelekebende,430
270173,Ndulini,508
270174,Cungweni,840
270175,Drayini,324
270176,eSikolweni,118
270177,Ngquto,438
270178,Bangani,124
270179,Vutha,332
270180,Khanya,239
270181,eNtshingeni A,375
270182,Khulo Khamisa,468
270183,KuNqayiya,430
270184,KwaNtxentse,380
270185,Bunene,614
270186,Ndafina,516
270187,KwaNditya A,120
270188,Ngqayiya Mkitswa Xora,11
270189,Mangqileni,824
270190,Matunzini,406
270213,Mampondweni,82
270214,Tsholora,602
270215,Ngqotsini,182
270216,Dingata,330
270217,Sidelwani,289
270218,Maqanyeni,103
270219,KwaSibonda,189
270220,Mabholobela,570
270221,KuMadakane B,319
270222,KuMatokazi,268
270223,Nqileni,1258
270224,KuLogqweta,592
270225,KuTshwathi,218
270226,Komkhulu B,131
270227,Camandashe,397
270228,eZithenjini,784
270229,KwaTenza B,150
270230,Mbewana,593
270231,Talemofu,241
270232,Mpindweni,747
270233,Xwangu,1042
270234,Ginyintsimbi,1730
270235,KuLogabu,711
270236,Kotyana,489
270237,Ndakana,168
270238,Xhiba,222
270239,Cinaka,323
270240,KuNtshwame,145
270241,Nyandeni,193
270242,KwaGobene,188
270243,Mbutye A,329
270244,eNgojini,452
270245,KwaKhawula A,318
270246,KwaMangweni,665
270247,eJojweni A,912
270248,Caba,496
270249,eLuthuthu,235
270250,Sikhobeni,577
270251,iCumakala,539
270252,Colosa B,636
270253,eMagocweni,191
270254,eSihlabeni C,348
270255,eZantsi,416
270256,Phezulu,558
270257,Ndaba,82
270258,Keti,481
270259,KwaSogula,60
270260,Tunzini,87
270261,Makambi,161
270262,eMampondweni A,449
270263,Kasa B,646
270264,Cuntsula,141
270265,Ngwemnyama,144
270266,Melitafe,482
270267,KwaBango,544
270268,KuGwelane,354
270269,KwaPewula,189
270270,KuXamu,607
270271,Kuloguelane,146
270272,Sholora,491
270273,Mcelwane,407
270274,Ntshingeni,167
270275,Mgatshe,265
270276,Phesitlha,190
270277,Mbashe B,124
270278,KwaBanqo,242
270279,KuMbonda,357
270280,Nkolweni,521
270281,Nopoto,513
270282,Botho,700
270283,Mavaleleni Shinira,609
270284,Mpama,338
270285,Mdikana,500
270286,Lubanzi,346
270287,Zwelitsha,459
270288,Bhawu,125
270289,Mbenya,607
270290,Mkatazo,295
270291,Amanaleni,147
270292,Mbutye B,215
270293,Bulungula,96
270294,Ntungu,451
270295,KwaMasentse,181
270296,Manangeni,128
270297,eMangqosinini,457
270298,Xeni,1158
270299,Colosa A,657
270300,Colosa C,1361
